 TITLE="boundary"
 VARIABLES="X", "Y"
 ZONE T="boundary"
 I=296, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
  0.7400000000E+02 -0.1554081633E+02
  0.7400000000E+02 -0.1401020408E+02
  0.7400000000E+02 -0.1247959184E+02
  0.7400000000E+02 -0.1094897959E+02
  0.7400000000E+02 -0.9418367347E+01
  0.7400000000E+02 -0.7887755102E+01
  0.7400000000E+02 -0.6357142857E+01
  0.7400000000E+02 -0.4826530612E+01
  0.7400000000E+02 -0.3295918367E+01
  0.7400000000E+02 -0.1765306122E+01
  0.7400000000E+02 -0.2346938776E+00
  0.7400000000E+02  0.1295918367E+01
  0.7400000000E+02  0.2826530612E+01
  0.7400000000E+02  0.4357142857E+01
  0.7400000000E+02  0.5887755102E+01
  0.7400000000E+02  0.7418367347E+01
  0.7400000000E+02  0.8948979592E+01
  0.7400000000E+02  0.1047959184E+02
  0.7400000000E+02  0.1201020408E+02
  0.7400000000E+02  0.1354081633E+02
  0.7400000000E+02  0.1507142857E+02
  0.7400000000E+02  0.1660204082E+02
  0.7400000000E+02  0.1813265306E+02
  0.7400000000E+02  0.1966326531E+02
  0.7400000000E+02  0.2119387755E+02
  0.7400000000E+02  0.2272448980E+02
  0.7400000000E+02  0.2425510204E+02
  0.7400000000E+02  0.2578571429E+02
  0.7400000000E+02  0.2731632653E+02
  0.7400000000E+02  0.2884693878E+02
  0.7400000000E+02  0.3037755102E+02
  0.7400000000E+02  0.3190816327E+02
  0.7400000000E+02  0.3343877551E+02
  0.7400000000E+02  0.3496938776E+02
